entry_path,study_id,old_doi,new_doi,pmid,notes
entries/behavioral/inositol-slp-inos-ocular/sleep/v1,SLP-INOS-OCULAR_02,10.1234/slp-inos-ocular-02,10.1159/000478861,28793304,Urrila 2017 - Frontal cortex myo-inositol sleep adolescents
entries/behavioral/inositol-slp-inos-ocular/sleep/v1,SLP-INOS-OCULAR_03,10.1234/slp-inos-ocular-03,10.1080/14767058.2020.1818225,32933356,Aslfalah 2022 - Same study sleep latency reduction
entries/behavioral/magnesium-threonate-slp-mag-thr/sleep/v1,SLP-MAG-THR_01,10.1234/slp-mag-thr-01,10.1016/j.sleepx.2024.100121,39252819,Zhang 2024 - Magnesium L-threonate sleep quality
entries/behavioral/magnesium-threonate-slp-mag-thr/sleep/v1,SLP-MAG-THR_02,10.1234/slp-mag-thr-02,10.1016/j.sleepx.2024.100121,39252819,Zhang 2024 - Same study daytime functioning
entries/behavioral/magnesium-threonate-slp-mag-thr/sleep/v1,SLP-MAG-THR_03,10.1234/slp-mag-thr-03,10.1093/nutrit/nuab027,33942088,Magnesium brain bioavailability reference
entries/behavioral/matcha-slp-thea-matcha/sleep/v1,SLP-THEA-MATCHA_01,10.1234/slp-thea-matcha-01,10.3390/nu16172907,39275223,Unno 2024 - Matcha EEG sleep mental wellbeing
entries/behavioral/matcha-slp-thea-matcha/sleep/v1,SLP-THEA-MATCHA_02,10.1234/slp-thea-matcha-02,10.1371/journal.pone.0309287,39213264,Oikawa 2024 - Matcha cognitive sleep 12 months older adults
entries/behavioral/matcha-slp-thea-matcha/sleep/v1,SLP-THEA-MATCHA_03,10.1234/slp-thea-matcha-03,10.3390/nu9070777,28753943,Unno 2017 - Low-caffeine green tea stress sleep
entries/behavioral/cbd-microdose-slp-cbd-micro/sleep/v1,SLP-CBD-MICRO_01,10.1234/slp-cbd-micro-01,10.5664/jcsm.10998,38174873,Narayan 2024 - CBD 150mg moderate-severe insomnia
entries/behavioral/cbd-microdose-slp-cbd-micro/sleep/v1,SLP-CBD-MICRO_02,10.1234/slp-cbd-micro-02,10.3390/nu15194173,37836465,Kisiolek 2023 - 50mg CBD sleep quality 8 weeks
entries/behavioral/cbd-microdose-slp-cbd-micro/sleep/v1,SLP-CBD-MICRO_03,10.1234/slp-cbd-micro-03,10.1080/27697061.2023.2203221,,Saleska 2024 - Low dose CBD comparative effectiveness
